time,open,high,low,close,volume
2024-09-18,140.58,142.03,134.14,141.76,242120.922
2024-09-19,141.78,153.01,141.49,150.38,258493.263
2024-09-20,150.39,157.71,147.57,153.41,164697.672
2024-09-21,153.4,154.94,149.73,154.57,69547.97
2024-09-22,154.57,162.98,154.2,162.11,326480.857
2024-09-23,162.16,180.74,158.6,171.95,393303.304
2024-09-24,171.96,173.62,163.64,166.09,240434.583
2024-09-25,166.15,173.86,164.1,165.06,229190.222
2024-09-26,165.06,170.0,163.06,165.21,180050.749
2024-09-27,165.18,173.98,163.55,170.39,239959.521
2024-09-28,170.38,171.14,161.75,163.93,116012.285
2024-09-29,163.92,164.98,158.0,161.5,128971.089
2024-09-30,161.5,161.73,154.62,156.73,143364.098
2024-10-01,156.76,164.32,143.3,144.81,307625.849
2024-10-02,144.8,150.23,136.82,139.14,248375.003
2024-10-03,139.16,146.8,134.7,143.73,343883.213
2024-10-04,143.73,152.95,141.52,151.25,297529.597
2024-10-05,151.29,151.89,146.07,148.46,69951.682
2024-10-06,148.49,150.57,146.19,150.12,77951.976
2024-10-07,150.13,154.9,145.45,146.68,193093.639
2024-10-08,146.69,147.75,141.77,143.15,125955.959
2024-10-09,143.14,144.23,138.42,139.44,163378.505
2024-10-10,139.44,145.34,136.0,140.7,234816.631
2024-10-11,140.72,145.85,140.36,143.91,94223.554
2024-10-12,143.91,157.04,143.27,154.73,174033.133
2024-10-13,154.74,155.99,150.54,154.64,112460.164
2024-10-14,154.63,165.39,153.04,162.93,215465.312
2024-10-15,162.95,165.84,152.81,156.79,242676.987
2024-10-16,156.79,159.95,153.52,155.8,117223.022
2024-10-17,155.81,157.69,150.2,153.14,98597.969
2024-10-18,153.13,159.05,152.07,159.0,97053.172
2024-10-19,159.02,159.91,155.77,158.15,65337.172
2024-10-20,158.18,160.58,156.04,158.88,82687.271
2024-10-21,158.91,159.89,151.3,153.25,103541.131
2024-10-22,153.26,155.26,149.99,152.67,72677.47
2024-10-23,152.68,153.01,143.88,149.61,84456.014
2024-10-24,149.61,153.16,145.9,147.44,104300.323
2024-10-25,147.48,149.66,132.0,138.1,148032.65
2024-10-26,138.08,143.88,136.63,142.69,85873.918
2024-10-27,142.7,148.06,141.83,147.94,59667.959
2024-10-28,147.95,154.4,146.4,151.69,142180.392
2024-10-29,151.67,155.38,149.19,151.49,116859.049
2024-10-30,151.51,158.32,148.65,156.25,137311.726
2024-10-31,156.19,157.7,140.86,143.51,144313.974
2024-11-01,143.51,147.09,140.03,141.45,84272.533
2024-11-02,141.41,143.77,136.95,138.42,68486.309
2024-11-03,138.45,138.65,128.63,132.87,119709.017
2024-11-04,132.86,134.92,125.73,128.27,131983.101
2024-11-05,128.27,136.85,127.87,135.83,217528.776
2024-11-06,135.83,176.36,135.79,173.71,695053.895
2024-11-07,173.65,190.81,173.23,183.4,500583.521
2024-11-08,183.54,185.4,165.85,181.94,228363.348
2024-11-09,181.97,199.49,181.03,195.35,300785.629
2024-11-10,195.21,198.66,181.35,190.06,333343.573
