time,open,high,low,close,volume
2025-05-30,33.387,34.348,31.369,32.816,3866226.57
2025-05-31,32.83,33.663,30.724,32.671,5212805.58
2025-06-01,32.671,34.279,31.505,34.152,3206031.45
2025-06-02,34.156,36.66,32.417,36.474,4454011.49
2025-06-03,36.477,38.238,35.658,36.092,5754781.17
2025-06-04,36.093,37.24,34.479,35.632,5221223.4
2025-06-05,35.64,36.426,32.626,34.024,6408548.66
2025-06-06,34.025,35.613,33.081,33.333,5013806.94
2025-06-07,33.334,35.162,33.01,34.921,2809657.95
2025-06-08,34.917,36.328,34.491,34.984,3271157.06
2025-06-09,34.987,39.166,34.706,38.848,6898520.09
2025-06-10,38.848,42.411,38.404,42.241,9124540.17
2025-06-11,42.24,44.088,40.71,41.828,7589698.18
2025-06-12,41.823,43.913,40.3,40.516,9401867.95
2025-06-13,40.52,43.065,37.338,42.297,16860067.9
2025-06-14,42.299,42.723,38.867,40.13,7391611.45
2025-06-15,40.13,41.478,39.684,41.193,6187277.84
2025-06-16,41.191,45.846,40.686,41.918,12652591.02
2025-06-17,41.92,43.541,38.314,39.968,16344283.26
2025-06-18,39.968,41.122,37.561,39.48,15304531.32
2025-06-19,39.476,40.0,35.8,36.876,12321573.01
2025-06-20,36.877,37.901,33.074,33.387,16615184.89
2025-06-21,33.388,35.312,30.913,34.421,15063399.4
2025-06-22,34.419,36.065,31.6,35.754,21995077.03
2025-06-23,35.761,38.485,33.272,38.175,20158301.32
2025-06-24,38.178,38.936,36.25,37.512,12649596.36
2025-06-25,37.513,39.096,36.677,37.016,10160149.13
2025-06-26,37.017,38.104,35.735,35.803,9364452.83
2025-06-27,35.802,37.285,35.347,36.622,5586862.23
2025-06-28,36.623,37.907,36.219,37.798,3212373.58
2025-06-29,37.799,39.901,37.489,39.775,5358852.29
2025-06-30,39.778,41.269,39.156,39.55,8197865.1
2025-07-01,39.556,39.809,36.839,36.909,8575987.39
2025-07-02,36.91,40.38,36.809,39.877,7829646.81
2025-07-03,39.877,41.218,39.553,40.254,5930628.57
2025-07-04,40.253,40.437,37.545,38.962,6128319.75
2025-07-05,38.961,39.624,38.274,39.143,3739084.06
2025-07-06,39.137,40.032,38.586,39.829,3982024.06
2025-07-07,39.829,40.161,38.194,38.546,4577650.0
2025-07-08,38.547,39.079,36.952,38.806,6051103.59
2025-07-09,38.803,41.049,38.731,40.673,5172539.44
2025-07-10,40.671,44.096,40.502,43.813,5949804.44
2025-07-11,43.818,46.939,43.383,46.383,6914263.56
2025-07-12,46.382,47.412,45.088,47.09,4831768.26
2025-07-13,47.09,49.307,46.938,48.95,3958818.71
2025-07-14,48.942,49.923,46.504,47.608,5564265.67
2025-07-15,47.607,48.396,46.649,47.867,5544850.61
2025-07-16,47.865,48.586,46.454,46.987,5145272.18
2025-07-17,46.989,47.382,44.45,45.59,7569714.1
2025-07-18,45.589,47.439,43.045,44.331,8317366.71
