2025-10-06 14:27:29 | INFO | DETECTED | BTCUSDT 1d | AB=CD_1b_bull |  Pattern Detected: BTCUSDT |  Ab=Cd 1B Bull Timeframe: 1d Direction: Bullish PRZ: $74433.49 - $74582.51 Distance: 39.8%
2025-10-06 14:27:29 | INFO | DETECTED | BTCUSDT 1d | AntiGartley_bull |  Pattern Detected: BTCUSDT |  Antigartley Bull Timeframe: 1d Direction: Bullish PRZ: $74433.49 - $74582.51 Distance: 39.8%
2025-10-06 14:27:29 | INFO | DETECTED | BTCUSDT 1d | 8_2_bull |  Pattern Detected: BTCUSDT |  8 2 Bull Timeframe: 1d Direction: Bullish PRZ: $74433.49 - $74582.51 Distance: 39.8%
2025-10-06 14:27:29 | INFO | DETECTED | BTCUSDT 1d | AntiBat2_bull |  Pattern Detected: BTCUSDT |  Antibat2 Bull Timeframe: 1d Direction: Bullish PRZ: $74433.49 - $74582.51 Distance: 39.8%
2025-10-06 14:27:30 | INFO | DETECTED | BTCUSDT 1d | 8_3_bull |  Pattern Detected: BTCUSDT |  8 3 Bull Timeframe: 1d Direction: Bullish PRZ: $74433.49 - $74582.51 Distance: 39.8%
2025-10-06 14:27:30 | INFO | DETECTED | BTCUSDT 1d | 8_4_bull |  Pattern Detected: BTCUSDT |  8 4 Bull Timeframe: 1d Direction: Bullish PRZ: $74433.49 - $74582.51 Distance: 39.8%
2025-10-06 14:27:30 | INFO | DETECTED | BTCUSDT 1d | WobblyJohn1_bull |  Pattern Detected: BTCUSDT |  Wobblyjohn1 Bull Timeframe: 1d Direction: Bullish PRZ: $98101.80 - $98298.20 Distance: 20.6%
2025-10-06 14:27:30 | INFO | DETECTED | BTCUSDT 1d | Gartley1_bull |  Pattern Detected: BTCUSDT |  Gartley1 Bull Timeframe: 1d Direction: Bullish PRZ: $98101.80 - $98298.20 Distance: 20.6%
2025-10-06 14:27:31 | INFO | DETECTED | BTCUSDT 1d | BukuT1_bull |  Pattern Detected: BTCUSDT |  Bukut1 Bull Timeframe: 1d Direction: Bullish PRZ: $98101.80 - $98298.20 Distance: 20.6%
2025-10-06 14:27:31 | INFO | DETECTED | BTCUSDT 1d | Gartley1_bull |  Pattern Detected: BTCUSDT |  Gartley1 Bull Timeframe: 1d Direction: Bullish PRZ: $98101.80 - $98298.20 Distance: 20.6%
2025-10-06 14:27:31 | INFO | DETECTED | BTCUSDT 1d | BukuT1_bull |  Pattern Detected: BTCUSDT |  Bukut1 Bull Timeframe: 1d Direction: Bullish PRZ: $98101.80 - $98298.20 Distance: 20.6%
