time,open,high,low,close,volume
2017-08-17,301.13,312.18,283.94,293.96,16568.5568
2017-08-19,293.31,300.53,278.0,299.1,4656.33644
2017-08-21,299.1,346.52,144.21,309.8,13175.7963
2017-08-23,312.25,328.04,309.41,323.42,15418.997609999999
2017-08-25,323.42,338.28,323.41,330.79,12003.65483
2017-08-27,332.18,351.0,330.73,346.0,8914.618849999999
2017-08-29,347.0,393.71,346.0,385.93,7478.73033
2017-08-31,384.64,394.39,377.78,388.46,8634.552889999999
2017-09-02,388.58,394.32,320.08,341.77,13493.94935
2017-09-04,339.29,344.55,235.55,312.09,15082.22985
2017-09-06,313.29,342.5,312.09,334.49,8590.20733
2017-09-08,334.49,335.1,272.0,296.74,7656.345149999999
2017-09-10,296.72,304.98,261.03,297.3,8986.09746
2017-09-12,297.78,316.46,257.05,276.91,11627.542379999999
2017-09-14,275.76,283.77,192.0,253.0,26825.852059999997
2017-09-16,255.99,271.81,235.51,257.55,14976.59348
2017-09-18,257.53,306.22,257.11,284.0,5995.87903
2017-09-20,284.01,294.0,252.1,257.0,2973.12317
2017-09-22,258.0,286.23,253.01,285.93,4288.84822
2017-09-24,286.5,299.0,275.0,294.42,11446.02457
2017-09-26,294.42,313.0,286.13,309.74,10085.03186
2017-09-28,309.81,311.81,274.0,292.22,17690.10824
2017-09-30,292.62,307.49,292.22,303.95,9080.66553
2017-10-02,303.94,305.0,283.18,292.48,9257.69449
2017-10-04,292.47,297.97,285.53,294.81,7427.27808
2017-10-06,294.78,318.5,293.78,311.01,5706.81435
2017-10-08,311.08,317.07,286.65,297.19,7846.31061
2017-10-10,297.35,308.56,293.0,304.01,10473.96098
2017-10-12,304.01,353.96,297.0,337.96,25753.121809999997
2017-10-14,337.96,349.8,316.17,337.96,17743.31177
2017-10-16,337.5,354.0,312.65,315.19,16810.21453
2017-10-18,315.19,318.0,284.68,308.66,21586.79279
2017-10-20,308.66,311.18,290.0,298.94,17330.94885
2017-10-22,298.99,306.99,272.2,281.09,16831.85297
2017-10-24,282.27,310.0,275.5,294.49,23769.771849999997
2017-10-26,294.1,299.76,291.03,296.33,14085.17519
2017-10-28,296.14,309.4,290.1,305.0,14867.999039999999
2017-10-30,305.0,316.0,302.1,304.9,16586.53208
2017-11-01,304.89,305.9,274.73,283.12,23267.023800000003
2017-11-03,283.12,307.0,282.0,298.04,16022.452089999999
2017-11-05,298.1,305.58,290.11,297.97,14153.92222
2017-11-07,297.25,320.0,287.0,303.02,25380.43653
2017-11-09,303.6,329.0,285.82,293.5,26748.46503
2017-11-11,293.52,318.0,281.01,305.24,31973.31598
2017-11-13,304.0,337.54,303.7,335.61,33260.897039999996
2017-11-15,335.6,339.0,321.41,331.49,29742.87827
2017-11-17,331.49,349.9,323.84,346.66,32403.52274
2017-11-19,346.66,373.56,343.07,367.42,37674.76838
2017-11-21,367.42,384.84,350.02,380.65,44359.228820000004
2017-11-23,380.63,475.0,370.02,469.0,55807.35942
2017-11-25,467.57,484.47,436.14,462.84,43119.74876
2017-11-27,462.84,486.94,453.0,466.17,47728.36232
2017-11-29,466.17,515.0,385.0,427.43,96497.71836
2017-12-01,428.05,471.91,413.74,457.63,58868.35995
2017-12-03,457.31,485.9,440.11,466.67,47672.71945999999
2017-12-05,466.66,468.67,400.0,411.01,64025.877309999996
2017-12-07,413.5,456.78,375.01,442.56,82408.33574
2017-12-09,442.56,488.0,403.2,427.35,76837.59982
2017-12-11,427.35,639.27,427.35,620.0,89150.18903000001
2017-12-13,622.0,747.6,539.93,679.76,118613.45675
2017-12-15,679.76,712.0,594.6,682.81,66644.21495
2017-12-17,681.8,798.88,638.0,784.0,77072.15537
2017-12-19,784.0,864.9,661.0,790.21,141949.90541
2017-12-21,794.62,845.99,504.99,635.97,232853.0348
2017-12-23,635.15,714.99,563.49,658.0,174432.99790000002
2017-12-25,659.4,750.0,599.99,750.0,138597.32007000002
2017-12-27,750.0,766.05,645.88,707.89,124018.89108
2017-12-29,709.5,757.87,635.82,681.06,153908.12641
2017-12-31,680.01,763.55,672.86,754.99,116537.50343
2018-01-02,754.99,950.01,749.06,934.03,202299.24043
2018-01-04,934.03,1045.0,890.01,959.3,200268.49014
2018-01-06,958.0,1125.0,950.0,1123.09,137233.09852
2018-01-08,1123.09,1326.5,910.0,1291.0,277534.43482
2018-01-10,1291.0,1440.0,1021.0,1138.93,354731.30677
2018-01-12,1136.45,1427.01,1069.01,1388.02,169656.90462
2018-01-14,1388.1,1391.89,1220.89,1271.0,167627.90061
2018-01-16,1268.67,1275.01,755.0,1000.0,780223.03835
2018-01-18,1000.0,1079.0,924.21,1032.5,462499.82460000005
2018-01-20,1032.5,1165.4,998.0,1049.0,298383.59151
2018-01-22,1049.0,1090.15,908.0,980.0,345372.1596
2018-01-24,981.2,1115.0,953.09,1056.52,253673.72965
2018-01-26,1055.29,1127.99,986.0,1118.99,242007.97639000003
